File,Panjang,Keliling,Diameter,Luas,Faktor bentuk,ASM 0,ASM 45,ASM 90,ASM 135,Kontras 0,Kontras 45,Kontras 90,Kontras 135,IDM 0,IDM 45,IDM 90,IDM 135,Entropy 0,Entropy 45,Entropy 90,Entropy 135,Korelasi 0,Korelasi 45,Korelasi 90,Korelasi 135,Jenis
Gambar baru\Rhizophora mucronata\Rhizophora mucronata105.jpg,181.33394607739612,1054.943212389946,113.67240717935275,31455.5,2.8154752079483525,0.7879847132185998,0.7861098081262083,0.7897786928852739,0.7859394659284701,29.920235292319475,48.60523282309712,22.196612035225364,44.002309274244716,0.9274657699623622,0.9224263267164436,0.9330700012606185,0.9223298581780756,1.7474290901313212,1.7834814814474738,1.6988981686463234,1.7784050591627638,0.991849899327701,0.9867839322579504,0.9939537696055893,0.9880354960485191,6
Gambar baru\Bruguiera cylindrica\bruguiera_cylindrica79.jpg,361.33225707096784,2337.0681025981903,297.01151950564656,260334.0,1.6695598058288126,0.0006459064004396291,0.0005446859202471239,0.0007988651459458482,0.0005121759507908446,136.12027962940684,176.19170039942796,92.47536234099931,199.33623492556842,0.25897469685927677,0.2275235876602535,0.3066211624214383,0.21726237540293722,11.761799272241115,11.990272174793596,11.398610602106269,12.088372534696283,0.9377677888217947,0.9194248833795667,0.9577090340073087,0.9088399210831545,2
Gambar baru\Rhizophora mucronata\rhizophora_mucronata8.jpg,361.33225707096784,3000.327111363411,278.9158104688113,258209.0,2.774316296487537,0.0013832031205238096,0.0012382940098337662,0.001358238146673493,0.0012247099197174186,37.83697712818081,52.08454701077239,35.06772489603791,59.68613018485605,0.3419564777197305,0.30707517924773153,0.3366156775693301,0.30828844578121833,10.79581009331146,11.06246946085762,10.869384422601636,11.08403725353018,0.9829111415192802,0.9764618032748834,0.9841591800931472,0.9730264980477383,6
Gambar baru\Avicennia alba\avicennia_alba6.jpg,361.33225707096784,2324.1046808958054,304.17523751129994,260608.5,1.6493504002845858,0.0005609204292600198,0.00048813468372932434,0.0007309096685872055,0.0005245978431085067,49.47055406066657,86.04375749173839,31.86260090508867,57.215241210012934,0.308276518472436,0.27926538852236643,0.3681481341064796,0.2918733077453893,11.698697746677484,11.941615241139244,11.254063387191447,11.80669304231678,0.9879138886887533,0.9789761466616629,0.9922073256731014,0.9860200102230536,1
Gambar baru\Bruguiera gymnorrhiza\bruguiera_gymnorrhiza65.jpg,361.33225707096784,2303.3940041065216,304.31179162157844,260631.5,1.6199428617490164,0.000650369215385724,0.0006054788740408314,0.0007932580722920133,0.0005748693088481807,108.47263331702949,128.83234592392185,39.067591120353434,131.22118481470528,0.35050574118203176,0.32899769718357,0.40379419434035924,0.322670054003591,11.611745626318196,11.76169974595002,11.178193959924618,11.774027821731243,0.9845559191498022,0.9816632075170636,0.9944404482489311,0.9813232291714575,3
Gambar baru\Xylocarpus granatum\Xylocarpus granatum111.jpg,168.0773631397161,1016.2640595436096,135.12928735996394,56782.0,1.447413384886224,0.625727362672579,0.6241964938667008,0.6255476771094889,0.6241121762173102,32.19688723092049,71.07127347091904,49.57061827299527,70.03969041172441,0.8459518183393215,0.830597879685612,0.8362486210891603,0.8302667209789452,3.2143235576211464,3.347520954109108,3.292408837715869,3.341596748232259,0.9939623920500843,0.9866927842637385,0.9907044442892685,0.9868859354153672,9
Gambar baru\Bruguiera cylindrica\bruguiera_cylindrica29.jpg,361.33225707096784,2305.068103313446,299.73333644765427,260724.0,1.6217228946166566,0.0005168690109645524,0.0004440367177770235,0.0006779737445251634,0.0004257457291424286,158.0713215508855,191.95135205517312,88.76706977739872,208.4334120963063,0.21331605193291622,0.18705698613297367,0.26509809119352107,0.1825660545010442,12.000441911804755,12.211740345484888,11.586000763138648,12.276845623055808,0.9356325561793062,0.9218399194418936,0.9638595170816961,0.9151279742956347,2
Gambar baru\Rhizophora apiculata\rhizophora_apiculata86 - Copy.jpg,361.3654659759286,2928.645870923996,299.1363103927856,255387.0,2.672545268665615,0.000979366025870203,0.0009156016040011767,0.0012156328271000234,0.000924008642528859,86.61088475416055,95.29116386655936,38.08815053204581,117.45341048785792,0.34355128342090263,0.32165795715150347,0.41120378854278444,0.3280065123374469,11.521617988097256,11.666626707374567,11.028519263753454,11.664080651926435,0.9846836458546403,0.9831406410853363,0.9932700898487831,0.9792197578447762,5
Gambar baru\Rhizophora mucronata\rhizophora_mucronata22.jpg,361.33225707096784,2593.8519344329834,303.2895357626524,259741.0,2.0612942450758225,0.0006248450556896579,0.0005595427030068147,0.0006320499659737666,0.0005298926566236987,36.20510105797536,41.29094557695464,26.304095064824512,55.95000019148182,0.3267570025830582,0.3004224203650654,0.32758307384582586,0.28608342524078956,11.424556075387672,11.582842592663296,11.391594318772613,11.739822995155635,0.9927405835931769,0.9917279857159469,0.9947315737748444,0.9887912314717389,6
Gambar baru\Bruguiera gymnorrhiza\Bruguiera gymnorrhiza22.jpg,224.1807306616695,1356.82546210289,150.30031167992036,46594.5,3.144151397842581,0.6944614408077571,0.690099281835515,0.6911010518305715,0.6900950067380605,14.539276541095921,64.70308401086075,58.603871086105755,63.96829822189712,0.928849070160683,0.9013501526848358,0.910147973512515,0.9023418743097943,2.0926345758933205,2.2411540538735055,2.2002998744547293,2.237487891754648,0.9986326940234218,0.9939250095210017,0.9944887613245377,0.9939939987622539,3
